2025-09-06 17:33:50,697 - INFO - ✅ Arduino ready and optimized
2025-09-06 17:33:50,708 - INFO - 🚀 Optimized Robot Controller Initialized
2025-09-06 17:33:50,708 - INFO - 📐 Differential Drive Specifications:
2025-09-06 17:33:50,708 - INFO -    Wheel diameter: 5.0 cm
2025-09-06 17:33:50,709 - INFO -    Wheel base: 15.0 cm
2025-09-06 17:33:50,709 - INFO -    Left motor: 4993 ticks/rev
2025-09-06 17:33:50,709 - INFO -    Right motor: 4966 ticks/rev
2025-09-06 17:33:50,709 - INFO -    Left resolution: 0.031 mm/tick
2025-09-06 17:33:50,709 - INFO -    Right resolution: 0.032 mm/tick
2025-09-06 17:33:50,709 - INFO -    360° turn needs: L=14979 ticks, R=14898 ticks
2025-09-06 17:33:50,710 - INFO - 🔄 High-performance threads started
2025-09-06 17:33:54,028 - INFO - 🔄 Movement: L=11 ticks (0.3mm), R=8 ticks (0.3mm), Center=0.3mm, Turn=-0.0°
2025-09-06 17:34:26,184 - INFO - 🔄 Movement: L=39 ticks (1.2mm), R=36 ticks (1.1mm), Center=1.2mm, Turn=-0.0°
2025-09-06 17:34:26,194 - INFO - 🔄 Movement: L=35 ticks (1.1mm), R=34 ticks (1.1mm), Center=1.1mm, Turn=-0.0°
2025-09-06 17:34:26,211 - INFO - 🔄 Movement: L=60 ticks (1.9mm), R=55 ticks (1.7mm), Center=1.8mm, Turn=-0.1°
2025-09-06 17:34:26,211 - INFO - 🔄 Movement: L=12 ticks (0.4mm), R=12 ticks (0.4mm), Center=0.4mm, Turn=0.0°
2025-09-06 17:34:26,227 - INFO - 🔄 Movement: L=64 ticks (2.0mm), R=61 ticks (1.9mm), Center=2.0mm, Turn=-0.0°
2025-09-06 17:34:26,237 - INFO - 🔄 Movement: L=11 ticks (0.3mm), R=10 ticks (0.3mm), Center=0.3mm, Turn=-0.0°
2025-09-06 17:34:26,250 - INFO - 🔄 Movement: L=64 ticks (2.0mm), R=59 ticks (1.9mm), Center=1.9mm, Turn=-0.1°
2025-09-06 17:34:26,274 - INFO - 🔄 Movement: L=75 ticks (2.4mm), R=71 ticks (2.2mm), Center=2.3mm, Turn=-0.0°
2025-09-06 17:34:26,292 - INFO - 🔄 Movement: L=67 ticks (2.1mm), R=63 ticks (2.0mm), Center=2.1mm, Turn=-0.0°
2025-09-06 17:34:26,315 - INFO - 🔄 Movement: L=65 ticks (2.0mm), R=61 ticks (1.9mm), Center=2.0mm, Turn=-0.0°
2025-09-06 17:34:26,315 - INFO - 🔄 Movement: L=17 ticks (0.5mm), R=16 ticks (0.5mm), Center=0.5mm, Turn=-0.0°
2025-09-06 17:34:26,337 - INFO - 🔄 Movement: L=58 ticks (1.8mm), R=55 ticks (1.7mm), Center=1.8mm, Turn=-0.0°
2025-09-06 17:34:26,338 - INFO - 🔄 Movement: L=16 ticks (0.5mm), R=15 ticks (0.5mm), Center=0.5mm, Turn=-0.0°
2025-09-06 17:34:26,353 - INFO - 🔄 Movement: L=56 ticks (1.8mm), R=52 ticks (1.6mm), Center=1.7mm, Turn=-0.0°
2025-09-06 17:34:26,358 - INFO - 🔄 Movement: L=20 ticks (0.6mm), R=19 ticks (0.6mm), Center=0.6mm, Turn=-0.0°
2025-09-06 17:34:26,376 - INFO - 🔄 Movement: L=55 ticks (1.7mm), R=52 ticks (1.6mm), Center=1.7mm, Turn=-0.0°
2025-09-06 17:34:26,376 - INFO - 🔄 Movement: L=19 ticks (0.6mm), R=17 ticks (0.5mm), Center=0.6mm, Turn=-0.0°
2025-09-06 17:34:26,392 - INFO - 🔄 Movement: L=53 ticks (1.7mm), R=49 ticks (1.5mm), Center=1.6mm, Turn=-0.0°
2025-09-06 17:34:26,404 - INFO - 🔄 Movement: L=39 ticks (1.2mm), R=37 ticks (1.2mm), Center=1.2mm, Turn=-0.0°
2025-09-06 17:34:26,417 - INFO - 🔄 Movement: L=36 ticks (1.1mm), R=35 ticks (1.1mm), Center=1.1mm, Turn=-0.0°
2025-09-06 17:34:26,423 - INFO - 🔄 Movement: L=41 ticks (1.3mm), R=38 ticks (1.2mm), Center=1.2mm, Turn=-0.0°
2025-09-06 17:34:26,436 - INFO - 🔄 Movement: L=31 ticks (1.0mm), R=28 ticks (0.9mm), Center=0.9mm, Turn=-0.0°
2025-09-06 17:34:26,452 - INFO - 🔄 Movement: L=43 ticks (1.4mm), R=40 ticks (1.3mm), Center=1.3mm, Turn=-0.0°
2025-09-06 17:34:26,452 - INFO - 🔄 Movement: L=32 ticks (1.0mm), R=32 ticks (1.0mm), Center=1.0mm, Turn=0.0°
2025-09-06 17:34:26,465 - INFO - 🔄 Movement: L=43 ticks (1.4mm), R=39 ticks (1.2mm), Center=1.3mm, Turn=-0.0°
2025-09-06 17:34:26,478 - INFO - 🔄 Movement: L=29 ticks (0.9mm), R=27 ticks (0.9mm), Center=0.9mm, Turn=-0.0°
2025-09-06 17:34:26,485 - INFO - 🔄 Movement: L=47 ticks (1.5mm), R=44 ticks (1.4mm), Center=1.4mm, Turn=-0.0°
2025-09-06 17:34:26,497 - INFO - 🔄 Movement: L=28 ticks (0.9mm), R=27 ticks (0.9mm), Center=0.9mm, Turn=-0.0°
2025-09-06 17:34:26,510 - INFO - 🔄 Movement: L=46 ticks (1.4mm), R=43 ticks (1.4mm), Center=1.4mm, Turn=-0.0°
2025-09-06 17:34:26,516 - INFO - 🔄 Movement: L=26 ticks (0.8mm), R=24 ticks (0.8mm), Center=0.8mm, Turn=-0.0°
2025-09-06 17:34:26,528 - INFO - 🔄 Movement: L=50 ticks (1.6mm), R=47 ticks (1.5mm), Center=1.5mm, Turn=-0.0°
2025-09-06 17:34:26,533 - INFO - 🔄 Movement: L=25 ticks (0.8mm), R=23 ticks (0.7mm), Center=0.8mm, Turn=-0.0°
2025-09-06 17:34:26,548 - INFO - 🔄 Movement: L=49 ticks (1.5mm), R=46 ticks (1.5mm), Center=1.5mm, Turn=-0.0°
2025-09-06 17:34:26,555 - INFO - 🔄 Movement: L=23 ticks (0.7mm), R=22 ticks (0.7mm), Center=0.7mm, Turn=-0.0°
2025-09-06 17:34:26,574 - INFO - 🔄 Movement: L=52 ticks (1.6mm), R=49 ticks (1.5mm), Center=1.6mm, Turn=-0.0°
2025-09-06 17:34:26,581 - INFO - 🔄 Movement: L=24 ticks (0.8mm), R=21 ticks (0.7mm), Center=0.7mm, Turn=-0.0°
2025-09-06 17:34:26,587 - INFO - 🔄 Movement: L=50 ticks (1.6mm), R=48 ticks (1.5mm), Center=1.5mm, Turn=-0.0°
2025-09-06 17:34:26,597 - INFO - 🔄 Movement: L=25 ticks (0.8mm), R=24 ticks (0.8mm), Center=0.8mm, Turn=-0.0°
2025-09-06 17:34:26,612 - INFO - 🔄 Movement: L=62 ticks (2.0mm), R=58 ticks (1.8mm), Center=1.9mm, Turn=-0.0°
2025-09-06 17:34:26,639 - INFO - 🔄 Movement: L=64 ticks (2.0mm), R=60 ticks (1.9mm), Center=2.0mm, Turn=-0.0°
2025-09-06 17:34:26,639 - INFO - 🔄 Movement: L=12 ticks (0.4mm), R=11 ticks (0.3mm), Center=0.4mm, Turn=-0.0°
2025-09-06 17:34:26,655 - INFO - 🔄 Movement: L=62 ticks (2.0mm), R=59 ticks (1.9mm), Center=1.9mm, Turn=-0.0°
2025-09-06 17:34:26,676 - INFO - 🔄 Movement: L=76 ticks (2.4mm), R=72 ticks (2.3mm), Center=2.3mm, Turn=-0.0°
2025-09-06 17:34:26,694 - INFO - 🔄 Movement: L=70 ticks (2.2mm), R=66 ticks (2.1mm), Center=2.1mm, Turn=-0.0°
2025-09-06 17:34:26,716 - INFO - 🔄 Movement: L=70 ticks (2.2mm), R=65 ticks (2.1mm), Center=2.1mm, Turn=-0.1°
2025-09-06 17:34:26,740 - INFO - 🔄 Movement: L=65 ticks (2.0mm), R=61 ticks (1.9mm), Center=2.0mm, Turn=-0.0°
2025-09-06 17:34:26,741 - INFO - 🔄 Movement: L=19 ticks (0.6mm), R=18 ticks (0.6mm), Center=0.6mm, Turn=-0.0°
2025-09-06 17:34:26,757 - INFO - 🔄 Movement: L=57 ticks (1.8mm), R=53 ticks (1.7mm), Center=1.7mm, Turn=-0.0°
2025-09-06 17:34:26,764 - INFO - 🔄 Movement: L=19 ticks (0.6mm), R=18 ticks (0.6mm), Center=0.6mm, Turn=-0.0°
2025-09-06 17:34:26,775 - INFO - 🔄 Movement: L=53 ticks (1.7mm), R=50 ticks (1.6mm), Center=1.6mm, Turn=-0.0°
2025-09-06 17:34:26,789 - INFO - 🔄 Movement: L=23 ticks (0.7mm), R=22 ticks (0.7mm), Center=0.7mm, Turn=-0.0°
2025-09-06 17:34:26,795 - INFO - 🔄 Movement: L=52 ticks (1.6mm), R=49 ticks (1.5mm), Center=1.6mm, Turn=-0.0°
2025-09-06 17:34:26,805 - INFO - 🔄 Movement: L=25 ticks (0.8mm), R=23 ticks (0.7mm), Center=0.8mm, Turn=-0.0°
2025-09-06 17:34:26,823 - INFO - 🔄 Movement: L=48 ticks (1.5mm), R=45 ticks (1.4mm), Center=1.5mm, Turn=-0.0°
2025-09-06 17:34:26,824 - INFO - 🔄 Movement: L=25 ticks (0.8mm), R=24 ticks (0.8mm), Center=0.8mm, Turn=-0.0°
2025-09-06 17:34:26,834 - INFO - 🔄 Movement: L=50 ticks (1.6mm), R=47 ticks (1.5mm), Center=1.5mm, Turn=-0.0°
2025-09-06 17:34:26,848 - INFO - 🔄 Movement: L=28 ticks (0.9mm), R=26 ticks (0.8mm), Center=0.9mm, Turn=-0.0°
2025-09-06 17:34:26,854 - INFO - 🔄 Movement: L=45 ticks (1.4mm), R=42 ticks (1.3mm), Center=1.4mm, Turn=-0.0°
2025-09-06 17:34:26,867 - INFO - 🔄 Movement: L=38 ticks (1.2mm), R=35 ticks (1.1mm), Center=1.2mm, Turn=-0.0°
2025-09-06 17:34:26,881 - INFO - 🔄 Movement: L=37 ticks (1.2mm), R=36 ticks (1.1mm), Center=1.2mm, Turn=-0.0°
2025-09-06 17:34:26,887 - INFO - 🔄 Movement: L=36 ticks (1.1mm), R=34 ticks (1.1mm), Center=1.1mm, Turn=-0.0°
2025-09-06 17:34:26,899 - INFO - 🔄 Movement: L=37 ticks (1.2mm), R=34 ticks (1.1mm), Center=1.1mm, Turn=-0.0°
2025-09-06 17:34:26,905 - INFO - 🔄 Movement: L=40 ticks (1.3mm), R=38 ticks (1.2mm), Center=1.2mm, Turn=-0.0°
2025-09-06 17:34:26,919 - INFO - 🔄 Movement: L=35 ticks (1.1mm), R=34 ticks (1.1mm), Center=1.1mm, Turn=-0.0°
2025-09-06 17:34:26,932 - INFO - 🔄 Movement: L=41 ticks (1.3mm), R=38 ticks (1.2mm), Center=1.2mm, Turn=-0.0°
2025-09-06 17:34:26,937 - INFO - 🔄 Movement: L=35 ticks (1.1mm), R=33 ticks (1.0mm), Center=1.1mm, Turn=-0.0°
2025-09-06 17:34:26,951 - INFO - 🔄 Movement: L=48 ticks (1.5mm), R=45 ticks (1.4mm), Center=1.5mm, Turn=-0.0°
2025-09-06 17:34:26,961 - INFO - 🔄 Movement: L=24 ticks (0.8mm), R=23 ticks (0.7mm), Center=0.7mm, Turn=-0.0°
2025-09-06 17:34:26,974 - INFO - 🔄 Movement: L=51 ticks (1.6mm), R=47 ticks (1.5mm), Center=1.5mm, Turn=-0.0°
2025-09-06 17:34:26,979 - INFO - 🔄 Movement: L=25 ticks (0.8mm), R=24 ticks (0.8mm), Center=0.8mm, Turn=-0.0°
2025-09-06 17:34:26,998 - INFO - 🔄 Movement: L=72 ticks (2.3mm), R=68 ticks (2.2mm), Center=2.2mm, Turn=-0.0°
2025-09-06 17:34:27,019 - INFO - 🔄 Movement: L=74 ticks (2.3mm), R=70 ticks (2.2mm), Center=2.3mm, Turn=-0.0°
2025-09-06 17:34:27,038 - INFO - 🔄 Movement: L=70 ticks (2.2mm), R=67 ticks (2.1mm), Center=2.2mm, Turn=-0.0°
2025-09-06 17:34:27,063 - INFO - 🔄 Movement: L=69 ticks (2.2mm), R=65 ticks (2.1mm), Center=2.1mm, Turn=-0.0°
2025-09-06 17:34:27,063 - INFO - 🔄 Movement: L=16 ticks (0.5mm), R=15 ticks (0.5mm), Center=0.5mm, Turn=-0.0°
2025-09-06 17:34:27,080 - INFO - 🔄 Movement: L=56 ticks (1.8mm), R=54 ticks (1.7mm), Center=1.7mm, Turn=-0.0°
2025-09-06 17:34:27,090 - INFO - 🔄 Movement: L=20 ticks (0.6mm), R=18 ticks (0.6mm), Center=0.6mm, Turn=-0.0°
2025-09-06 17:34:27,097 - INFO - 🔄 Movement: L=56 ticks (1.8mm), R=53 ticks (1.7mm), Center=1.7mm, Turn=-0.0°
2025-09-06 17:34:27,112 - INFO - 🔄 Movement: L=20 ticks (0.6mm), R=18 ticks (0.6mm), Center=0.6mm, Turn=-0.0°
2025-09-06 17:34:27,118 - INFO - 🔄 Movement: L=53 ticks (1.7mm), R=50 ticks (1.6mm), Center=1.6mm, Turn=-0.0°
2025-09-06 17:34:27,124 - INFO - 🔄 Movement: L=24 ticks (0.8mm), R=23 ticks (0.7mm), Center=0.7mm, Turn=-0.0°
2025-09-06 17:34:27,139 - INFO - 🔄 Movement: L=51 ticks (1.6mm), R=49 ticks (1.5mm), Center=1.6mm, Turn=-0.0°
2025-09-06 17:34:27,145 - INFO - 🔄 Movement: L=25 ticks (0.8mm), R=23 ticks (0.7mm), Center=0.8mm, Turn=-0.0°
2025-09-06 17:34:27,158 - INFO - 🔄 Movement: L=48 ticks (1.5mm), R=44 ticks (1.4mm), Center=1.5mm, Turn=-0.0°
2025-09-06 17:34:27,169 - INFO - 🔄 Movement: L=26 ticks (0.8mm), R=28 ticks (0.9mm), Center=0.9mm, Turn=0.0°
2025-09-06 17:34:27,179 - INFO - 🔄 Movement: L=24 ticks (0.8mm), R=40 ticks (1.3mm), Center=1.0mm, Turn=0.2°
2025-09-06 17:34:27,187 - INFO - 🔄 Movement: L=6 ticks (0.2mm), R=20 ticks (0.6mm), Center=0.4mm, Turn=0.2°
2025-09-06 17:34:27,199 - INFO - 🔄 Movement: L=1 ticks (0.0mm), R=35 ticks (1.1mm), Center=0.6mm, Turn=0.4°
2025-09-06 17:34:27,209 - INFO - 🔄 Movement: L=-4 ticks (-0.1mm), R=23 ticks (0.7mm), Center=0.3mm, Turn=0.3°
2025-09-06 17:34:27,220 - INFO - 🔄 Movement: L=-9 ticks (-0.3mm), R=30 ticks (0.9mm), Center=0.3mm, Turn=0.5°
2025-09-06 17:34:27,231 - INFO - 🔄 Movement: L=-9 ticks (-0.3mm), R=22 ticks (0.7mm), Center=0.2mm, Turn=0.4°
2025-09-06 17:34:27,242 - INFO - 🔄 Movement: L=-17 ticks (-0.5mm), R=29 ticks (0.9mm), Center=0.2mm, Turn=0.6°
2025-09-06 17:34:27,253 - INFO - 🔄 Movement: L=-14 ticks (-0.4mm), R=22 ticks (0.7mm), Center=0.1mm, Turn=0.4°
2025-09-06 17:34:27,258 - INFO - 🔄 Movement: L=-19 ticks (-0.6mm), R=26 ticks (0.8mm), Center=0.1mm, Turn=0.5°
2025-09-06 17:34:27,269 - INFO - 🔄 Movement: L=-20 ticks (-0.6mm), R=25 ticks (0.8mm), Center=0.1mm, Turn=0.5°
2025-09-06 17:34:27,280 - INFO - 🔄 Movement: L=-23 ticks (-0.7mm), R=26 ticks (0.8mm), Center=0.0mm, Turn=0.6°
2025-09-06 17:34:27,291 - INFO - 🔄 Movement: L=-23 ticks (-0.7mm), R=25 ticks (0.8mm), Center=0.0mm, Turn=0.6°
2025-09-06 17:34:27,302 - INFO - 🔄 Movement: L=-22 ticks (-0.7mm), R=24 ticks (0.8mm), Center=0.0mm, Turn=0.6°
2025-09-06 17:34:27,308 - INFO - 🔄 Movement: L=-26 ticks (-0.8mm), R=27 ticks (0.9mm), Center=0.0mm, Turn=0.6°
2025-09-06 17:34:27,308 - WARNING - ⚠️  CIRCULAR MOTION DETECTED! Large wheel difference: L=-26, R=27 (diff=-53)
2025-09-06 17:34:27,319 - INFO - 🔄 Movement: L=-26 ticks (-0.8mm), R=25 ticks (0.8mm), Center=-0.0mm, Turn=0.6°
2025-09-06 17:34:27,319 - WARNING - ⚠️  CIRCULAR MOTION DETECTED! Large wheel difference: L=-26, R=25 (diff=-51)
2025-09-06 17:34:27,330 - INFO - 🔄 Movement: L=-27 ticks (-0.8mm), R=27 ticks (0.9mm), Center=0.0mm, Turn=0.7°
2025-09-06 17:34:27,330 - WARNING - ⚠️  CIRCULAR MOTION DETECTED! Large wheel difference: L=-27, R=27 (diff=-54)
2025-09-06 17:34:27,341 - INFO - 🔄 Movement: L=-24 ticks (-0.8mm), R=23 ticks (0.7mm), Center=-0.0mm, Turn=0.6°
2025-09-06 17:34:27,351 - INFO - 🔄 Movement: L=-30 ticks (-0.9mm), R=30 ticks (0.9mm), Center=0.0mm, Turn=0.7°
2025-09-06 17:34:27,352 - WARNING - ⚠️  CIRCULAR MOTION DETECTED! Large wheel difference: L=-30, R=30 (diff=-60)
2025-09-06 17:34:27,362 - INFO - 🔄 Movement: L=-26 ticks (-0.8mm), R=25 ticks (0.8mm), Center=-0.0mm, Turn=0.6°
2025-09-06 17:34:27,363 - WARNING - ⚠️  CIRCULAR MOTION DETECTED! Large wheel difference: L=-26, R=25 (diff=-51)
2025-09-06 17:34:27,373 - INFO - 🔄 Movement: L=-32 ticks (-1.0mm), R=30 ticks (0.9mm), Center=-0.0mm, Turn=0.7°
2025-09-06 17:34:27,373 - WARNING - ⚠️  CIRCULAR MOTION DETECTED! Large wheel difference: L=-32, R=30 (diff=-62)
2025-09-06 17:34:27,379 - INFO - 🔄 Movement: L=-23 ticks (-0.7mm), R=22 ticks (0.7mm), Center=-0.0mm, Turn=0.5°
2025-09-06 17:34:27,394 - INFO - 🔄 Movement: L=-36 ticks (-1.1mm), R=35 ticks (1.1mm), Center=-0.0mm, Turn=0.9°
2025-09-06 17:34:27,395 - WARNING - ⚠️  CIRCULAR MOTION DETECTED! Large wheel difference: L=-36, R=35 (diff=-71)
2025-09-06 17:34:27,400 - INFO - 🔄 Movement: L=-23 ticks (-0.7mm), R=23 ticks (0.7mm), Center=0.0mm, Turn=0.6°
2025-09-06 17:34:27,416 - INFO - 🔄 Movement: L=-41 ticks (-1.3mm), R=38 ticks (1.2mm), Center=-0.0mm, Turn=1.0°
2025-09-06 17:34:27,416 - WARNING - ⚠️  CIRCULAR MOTION DETECTED! Large wheel difference: L=-41, R=38 (diff=-79)
2025-09-06 17:34:27,422 - INFO - 🔄 Movement: L=-15 ticks (-0.5mm), R=15 ticks (0.5mm), Center=0.0mm, Turn=0.4°
2025-09-06 17:34:27,437 - INFO - 🔄 Movement: L=-45 ticks (-1.4mm), R=44 ticks (1.4mm), Center=-0.0mm, Turn=1.1°
2025-09-06 17:34:27,438 - WARNING - ⚠️  CIRCULAR MOTION DETECTED! Large wheel difference: L=-45, R=44 (diff=-89)
2025-09-06 17:34:27,443 - INFO - 🔄 Movement: L=-15 ticks (-0.5mm), R=13 ticks (0.4mm), Center=-0.0mm, Turn=0.3°
2025-09-06 17:34:27,460 - INFO - 🔄 Movement: L=-46 ticks (-1.4mm), R=44 ticks (1.4mm), Center=-0.0mm, Turn=1.1°
2025-09-06 17:34:27,460 - WARNING - ⚠️  CIRCULAR MOTION DETECTED! Large wheel difference: L=-46, R=44 (diff=-90)
2025-09-06 17:34:27,465 - INFO - 🔄 Movement: L=-11 ticks (-0.3mm), R=11 ticks (0.3mm), Center=0.0mm, Turn=0.3°
2025-09-06 17:34:27,481 - INFO - 🔄 Movement: L=-56 ticks (-1.8mm), R=53 ticks (1.7mm), Center=-0.0mm, Turn=1.3°
2025-09-06 17:34:27,481 - WARNING - ⚠️  CIRCULAR MOTION DETECTED! Large wheel difference: L=-56, R=53 (diff=-109)
2025-09-06 17:34:27,502 - INFO - 🔄 Movement: L=-55 ticks (-1.7mm), R=52 ticks (1.6mm), Center=-0.0mm, Turn=1.3°
2025-09-06 17:34:27,502 - WARNING - ⚠️  CIRCULAR MOTION DETECTED! Large wheel difference: L=-55, R=52 (diff=-107)
2025-09-06 17:34:27,518 - INFO - 🔄 Movement: L=-56 ticks (-1.8mm), R=54 ticks (1.7mm), Center=-0.0mm, Turn=1.3°
2025-09-06 17:34:27,518 - WARNING - ⚠️  CIRCULAR MOTION DETECTED! Large wheel difference: L=-56, R=54 (diff=-110)
2025-09-06 17:34:27,544 - INFO - 🔄 Movement: L=-55 ticks (-1.7mm), R=52 ticks (1.6mm), Center=-0.0mm, Turn=1.3°
2025-09-06 17:34:27,544 - WARNING - ⚠️  CIRCULAR MOTION DETECTED! Large wheel difference: L=-55, R=52 (diff=-107)
2025-09-06 17:34:27,560 - INFO - 🔄 Movement: L=-58 ticks (-1.8mm), R=54 ticks (1.7mm), Center=-0.1mm, Turn=1.3°
2025-09-06 17:34:27,561 - WARNING - ⚠️  CIRCULAR MOTION DETECTED! Large wheel difference: L=-58, R=54 (diff=-112)
2025-09-06 17:34:27,582 - INFO - 🔄 Movement: L=-60 ticks (-1.9mm), R=56 ticks (1.8mm), Center=-0.1mm, Turn=1.4°
2025-09-06 17:34:27,582 - WARNING - ⚠️  CIRCULAR MOTION DETECTED! Large wheel difference: L=-60, R=56 (diff=-116)
2025-09-06 17:34:27,608 - INFO - 🔄 Movement: L=-59 ticks (-1.9mm), R=56 ticks (1.8mm), Center=-0.0mm, Turn=1.4°
2025-09-06 17:34:27,609 - WARNING - ⚠️  CIRCULAR MOTION DETECTED! Large wheel difference: L=-59, R=56 (diff=-115)
2025-09-06 17:34:27,621 - INFO - 🔄 Movement: L=-61 ticks (-1.9mm), R=57 ticks (1.8mm), Center=-0.1mm, Turn=1.4°
2025-09-06 17:34:27,621 - WARNING - ⚠️  CIRCULAR MOTION DETECTED! Large wheel difference: L=-61, R=57 (diff=-118)
2025-09-06 17:34:27,645 - INFO - 🔄 Movement: L=-51 ticks (-1.6mm), R=48 ticks (1.5mm), Center=-0.0mm, Turn=1.2°
2025-09-06 17:34:27,646 - WARNING - ⚠️  CIRCULAR MOTION DETECTED! Large wheel difference: L=-51, R=48 (diff=-99)
2025-09-06 17:34:27,646 - INFO - 🔄 Movement: L=-11 ticks (-0.3mm), R=11 ticks (0.3mm), Center=0.0mm, Turn=0.3°
2025-09-06 17:34:27,663 - INFO - 🔄 Movement: L=-52 ticks (-1.6mm), R=49 ticks (1.5mm), Center=-0.0mm, Turn=1.2°
2025-09-06 17:34:27,664 - WARNING - ⚠️  CIRCULAR MOTION DETECTED! Large wheel difference: L=-52, R=49 (diff=-101)
2025-09-06 17:34:27,682 - INFO - 🔄 Movement: L=-50 ticks (-1.6mm), R=47 ticks (1.5mm), Center=-0.0mm, Turn=1.2°
2025-09-06 17:34:27,682 - WARNING - ⚠️  CIRCULAR MOTION DETECTED! Large wheel difference: L=-50, R=47 (diff=-97)
2025-09-06 17:34:27,687 - INFO - 🔄 Movement: L=-10 ticks (-0.3mm), R=12 ticks (0.4mm), Center=0.0mm, Turn=0.3°
2025-09-06 17:34:27,703 - INFO - 🔄 Movement: L=-22 ticks (-0.7mm), R=45 ticks (1.4mm), Center=0.4mm, Turn=0.8°
2025-09-06 17:34:27,704 - WARNING - ⚠️  CIRCULAR MOTION DETECTED! Large wheel difference: L=-22, R=45 (diff=-67)
2025-09-06 17:34:27,726 - INFO - 🔄 Movement: L=5 ticks (0.2mm), R=40 ticks (1.3mm), Center=0.7mm, Turn=0.4°
2025-09-06 17:34:27,726 - INFO - 🔄 Movement: L=3 ticks (0.1mm), R=11 ticks (0.3mm), Center=0.2mm, Turn=0.1°
2025-09-06 17:34:27,741 - INFO - 🔄 Movement: L=18 ticks (0.6mm), R=39 ticks (1.2mm), Center=0.9mm, Turn=0.3°
2025-09-06 17:34:27,762 - INFO - 🔄 Movement: L=25 ticks (0.8mm), R=38 ticks (1.2mm), Center=1.0mm, Turn=0.2°
2025-09-06 17:34:27,767 - INFO - 🔄 Movement: L=13 ticks (0.4mm), R=17 ticks (0.5mm), Center=0.5mm, Turn=0.0°
2025-09-06 17:34:27,783 - INFO - 🔄 Movement: L=28 ticks (0.9mm), R=34 ticks (1.1mm), Center=1.0mm, Turn=0.1°
2025-09-06 17:34:27,789 - INFO - 🔄 Movement: L=16 ticks (0.5mm), R=17 ticks (0.5mm), Center=0.5mm, Turn=0.0°
2025-09-06 17:34:27,805 - INFO - 🔄 Movement: L=31 ticks (1.0mm), R=33 ticks (1.0mm), Center=1.0mm, Turn=0.0°
2025-09-06 17:34:27,810 - INFO - 🔄 Movement: L=19 ticks (0.6mm), R=19 ticks (0.6mm), Center=0.6mm, Turn=0.0°
2025-09-06 17:34:27,826 - INFO - 🔄 Movement: L=35 ticks (1.1mm), R=36 ticks (1.1mm), Center=1.1mm, Turn=0.0°
2025-09-06 17:34:27,831 - INFO - 🔄 Movement: L=21 ticks (0.7mm), R=19 ticks (0.6mm), Center=0.6mm, Turn=-0.0°
2025-09-06 17:34:27,841 - INFO - 🔄 Movement: L=34 ticks (1.1mm), R=34 ticks (1.1mm), Center=1.1mm, Turn=0.0°
2025-09-06 17:34:27,852 - INFO - 🔄 Movement: L=27 ticks (0.8mm), R=25 ticks (0.8mm), Center=0.8mm, Turn=-0.0°
2025-09-06 17:34:27,868 - INFO - 🔄 Movement: L=35 ticks (1.1mm), R=33 ticks (1.0mm), Center=1.1mm, Turn=-0.0°
2025-09-06 17:34:27,873 - INFO - 🔄 Movement: L=27 ticks (0.8mm), R=26 ticks (0.8mm), Center=0.8mm, Turn=-0.0°
2025-09-06 17:34:27,884 - INFO - 🔄 Movement: L=37 ticks (1.2mm), R=34 ticks (1.1mm), Center=1.1mm, Turn=-0.0°
2025-09-06 17:34:27,895 - INFO - 🔄 Movement: L=27 ticks (0.8mm), R=26 ticks (0.8mm), Center=0.8mm, Turn=-0.0°
2025-09-06 17:34:27,906 - INFO - 🔄 Movement: L=35 ticks (1.1mm), R=33 ticks (1.0mm), Center=1.1mm, Turn=-0.0°
2025-09-06 17:34:27,917 - INFO - 🔄 Movement: L=39 ticks (1.2mm), R=36 ticks (1.1mm), Center=1.2mm, Turn=-0.0°
2025-09-06 17:34:27,922 - INFO - 🔄 Movement: L=29 ticks (0.9mm), R=27 ticks (0.9mm), Center=0.9mm, Turn=-0.0°
2025-09-06 17:34:27,939 - INFO - 🔄 Movement: L=38 ticks (1.2mm), R=36 ticks (1.1mm), Center=1.2mm, Turn=-0.0°
2025-09-06 17:34:27,945 - INFO - 🔄 Movement: L=27 ticks (0.8mm), R=25 ticks (0.8mm), Center=0.8mm, Turn=-0.0°
2025-09-06 17:34:27,955 - INFO - 🔄 Movement: L=41 ticks (1.3mm), R=38 ticks (1.2mm), Center=1.2mm, Turn=-0.0°
2025-09-06 17:34:27,966 - INFO - 🔄 Movement: L=29 ticks (0.9mm), R=27 ticks (0.9mm), Center=0.9mm, Turn=-0.0°
2025-09-06 17:34:27,978 - INFO - 🔄 Movement: L=43 ticks (1.4mm), R=40 ticks (1.3mm), Center=1.3mm, Turn=-0.0°
2025-09-06 17:34:27,983 - INFO - 🔄 Movement: L=24 ticks (0.8mm), R=23 ticks (0.7mm), Center=0.7mm, Turn=-0.0°
2025-09-06 17:34:27,999 - INFO - 🔄 Movement: L=48 ticks (1.5mm), R=45 ticks (1.4mm), Center=1.5mm, Turn=-0.0°
2025-09-06 17:34:28,005 - INFO - 🔄 Movement: L=23 ticks (0.7mm), R=21 ticks (0.7mm), Center=0.7mm, Turn=-0.0°
2025-09-06 17:34:28,020 - INFO - 🔄 Movement: L=49 ticks (1.5mm), R=46 ticks (1.5mm), Center=1.5mm, Turn=-0.0°
